[2025-05-30 20.34.54] [INFO] Application starting.
[2025-05-30 20.34.54] [ERROR] Failed to load font: assets/fonts/ascii_16x16.png
Exception: System.InvalidOperationException: You need to initialize the OpenGL binding first by calling LoadBindings() or creating a compatible OpenGL window.
   at OpenTK.Graphics.BindingsBase.Uninitialized()
   at OpenTK.Graphics.OpenGL4.GL.GenTexture()
   at CoolRetroPowershellTerm.BitmapFont.LoadTexture(String path) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\BitmapFont.cs:line 32
   at CoolRetroPowershellTerm.BitmapFont..ctor(String path, Int32 glyphWidth, Int32 glyphHeight, Int32 gridCols, Int32 gridRows) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\BitmapFont.cs:line 25
   at CoolRetroPowershellTerm.Program.Main(String[] args) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\Program.cs:line 31
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.394
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.395
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.395
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.396
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.396
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.396
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.397
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.397
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.398
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.398
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.399
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.399
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.399
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.400
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.400
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.401
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.401
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.401
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.402
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.402
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.402
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.403
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.403
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.403
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.404
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.404
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.405
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.405
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.405
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.406
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.406
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.407
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.407
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.408
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.408
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.409
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.410
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.411
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.412
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.412
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.413
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.413
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.414
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.414
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.415
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.416
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.416
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.417
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.417
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.418
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.418
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.419
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.419
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.420
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.420
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.421
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.421
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.421
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.422
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.422
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.422
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.423
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.423
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.425
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.426
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.426
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.427
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.427
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.427
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.428
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.428
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.429
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.429
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.430
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.431
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.431
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.432
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.432
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.433
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.433
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.434
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.434
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.434
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.435
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.435
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.435
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.436
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.436
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.437
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.437
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.437
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.438
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.438
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.439
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.439
